"peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","datum","x_std","y_std","gpspositionalerror","describer","pedon_purpose","pedon_type","pedlabsampnum","labdatadescflag","elev_field","slope_field","aspect_field","plantassocnm","coverkind_1","bedrckdepth","bedrock_kind","bedrock_hardness","hillslope_pos","slope_position","shapeacross","shapedown","slopecomplex","drainagecl","geompos_hill","geompos_mntn","geompos_flats","slope_shape","classdate","classifier","class_type","taxonname","taxon_kind","series_status","part_size_class","tax_order","tax_suborder","tax_grtgroup","tax_subgroup","tax_edition","osdtypelocflag","tax_moistureclass","temp_class","tax_fam_other","psctopdepth","pscbotdepth","selection_method","ecositeid","ecositenm","ecositecorrdate","es_classifier","ochric.epipedon","argillic.horizon","slickensides","reduced.matrix","redox.concentrations","secondary.carbonates","gypsum.accumulations","densic.materials","cambic.horizon","mollic.epipedon","free.carbonates","salt.accumulations","paralithic.materials","paralithic.contact","lithologic.discontinuity","redox.depletions.with.chroma.2.or.less","calcic.horizon","abrupt.textural.change","petrocalcic.horizon","aquic.conditions","endosaturation","densic.contact","episaturation","albic.materials","surface_fgravel","surface_gravel","surface_cobbles","surface_stones","surface_boulders","surface_channers","surface_flagstones","surface_paragravel","surface_paracobbles","landform.string","pmkind","pmorigin"
340837,"P09TX3314001",340729,"P09TX3314001","2009-01-12 22:00:00",14,671135.86,3392624.2,-97.2139129638672,30.6540584564209,"WGS84",-97.2139206,30.6540585,NA,"Travis Waiser","full pedon description",NA,NA,0,135,4,NA,NA,"Grass/herbaceous cover",114,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,NA,"Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",25,100,"most recent",NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340838,"N09TX3314001",340730,"N09TX3314001","2009-01-12 22:00:00",14,671149.24,3392636.42,-97.2137756347656,30.654167175293,"WGS84",-97.2137756,30.6541672,NA,"Travis Waiser","soil survey inventory",NA,NA,0,135,4,NA,NA,"Grass/herbaceous cover",115,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",NA,NA,"most recent",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340839,"N09TX3314002",340731,"N09TX3314002","2009-01-12 22:00:00",14,671163.85,3392642.2,-97.213623046875,30.6542167663574,"WGS84",-97.213623,30.6542168,NA,"Travis Waiser","soil survey inventory",NA,NA,0,136,5,NA,NA,"Grass/herbaceous cover",102,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",NA,NA,"most recent",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340840,"P09TX3314002",340732,"P09TX3314002","2009-01-12 22:00:00",14,671174.3,3392648.46,-97.213508605957,30.6542720794678,"WGS84",-97.2135162,30.6542721,NA,"Travis Waiser","full pedon description",NA,NA,0,137,4,NA,NA,"Grass/herbaceous cover",115,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",25,100,"most recent",NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340841,"N09TX3314003",340733,"N09TX3314003","2009-01-12 22:00:00",14,671188.14,3392652.01,-97.2133636474609,30.6543025970459,"WGS84",-97.2133713,30.6543026,NA,"Travis Waiser","soil survey inventory",NA,NA,0,138,5,NA,NA,"Grass/herbaceous cover",101,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",NA,NA,"most recent",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340842,"P09TX3314003",340734,"P09TX3314003","2009-01-12 22:00:00",14,671213.1,3392669.77,-97.2131042480469,30.6544570922852,"WGS84",-97.2131042,30.654459,NA,"Travis Waiser","full pedon description",NA,NA,0,138,4,NA,NA,"Grass/herbaceous cover",111,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",25,100,"most recent",NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340846,"S09TX3314004",340738,"S09TX3314004","2009-01-12 22:00:00",14,671307.21,3392708.78,-97.2121200561523,30.6547966003418,"WGS84",-97.2121201,30.6547966,NA,"Travis Waiser","full pedon description","correlates to named soil","S09TX3314004",0,140,3,NA,NA,"Grass/herbaceous cover",131,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Heiden","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",25,100,"most recent",NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340847,"S09TX3314005",340739,"S09TX3314005","2009-01-12 22:00:00",14,671316.72,3392372.25,-97.2120742797852,30.6517601013184,"WGS84",-97.2120743,30.651762,NA,"Travis Waiser","full pedon description",NA,"S09TX3314005",0,132,0,NA,NA,"Grass/herbaceous cover",NA,NA,NA,"Toeslope",NA,"Linear","Concave",NA,"Moderately well drained","Base Slope",NA,NA,"Linear / Concave","2012-09-24 22:00:00","Chance M. Robinson","family","Houston Black","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",25,100,"most recent",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"drainageway","residuum","mudstone"
340849,"S09TX3314006",340741,"S09TX3314006","2009-01-13 22:00:00",14,673027.1,3402214.46,-97.1925811767578,30.7402801513672,"WGS84",-97.1925812,30.7402802,NA,"Travis Waiser","full pedon description",NA,"S09TX3314006",0,147,3,NA,NA,"Grass/herbaceous cover",180,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2012-09-24 22:00:00","Chance M. Robinson","family","Houston Black","family",NA,"fine","vertisols","usterts","haplusterts","udic haplusterts","eleventh edition",0,"ustic","thermic","not used",25,100,"most recent",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
340850,"P09TX3314007",340742,"P09TX3314007","2009-01-13 22:00:00",14,672998.65,3402177.6,-97.1928787231445,30.7399520874023,"WGS84",-97.1928787,30.7399521,NA,"Travis Waiser","full pedon description",NA,NA,0,146,3,NA,NA,"Grass/herbaceous cover",167,"Mudstone",NA,"Backslope",NA,"Convex","Linear",NA,"Moderately well drained","Side Slope",NA,NA,"Convex / Linear","2014-08-12 22:00:00",NA,"taxadjunct","Houston Black","taxadjunct","established","fine","vertisols","usterts","haplusterts","chromic udic haplusterts",NA,0,"ustic","thermic","not used",NA,NA,"most recent",NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","residuum","mudstone"
